#{"t_start": 1769509458.3543575, "env_id": "None"}
r,l,t
-0.453269,125,1.265313
-0.399241,133,1.610567
-0.567768,73,1.791793
-0.257323,144,2.173277
-0.334778,55,2.318581
-0.358582,130,2.636409
-0.237604,158,3.011259
-0.472775,121,3.315218
2.032999,180,3.743029
-0.482834,117,4.029944
-0.57932,73,4.207139
-0.383785,118,4.484527
-0.331733,62,4.628676
-0.410672,122,4.921265
1.95389,307,5.668246
2.013902,181,8.670878
-0.340732,53,8.807328
-0.339994,53,8.940703
2.05888,298,9.743493
-0.575651,73,9.952741
2.050457,240,10.63564
-0.353543,62,10.809153
-0.420659,129,11.188289
-0.404297,127,11.567017
-0.338281,57,11.724676
-0.29415,116,12.062
-0.370882,118,12.387934
-0.368659,112,12.718065
-0.366515,111,13.031362
-0.339277,59,13.200637
-0.61311,165,13.693449
-0.340593,53,13.860842
-0.447163,142,14.283525
2.109452,224,17.469579
2.017211,204,17.972622
-0.337216,53,18.102514
-0.474331,117,18.380147
-0.256084,144,18.733201
-0.336928,58,18.871255
-0.321909,63,19.026606
-0.327024,58,19.185537
-0.38214,103,20.130337
-0.347625,59,20.278507
-0.324935,59,20.422885
2.038166,299,21.176397
-0.226172,154,21.561985
2.044363,238,22.285943
-0.351153,55,22.481982
-0.243486,143,22.942869
-0.343386,57,25.869868
2.066011,198,26.450391
-0.34097,53,26.594671
-0.59069,160,27.006589
2.047534,175,27.465271
-0.354961,66,27.638356
-0.49209,184,28.132683
-0.474708,128,28.467234
-0.333271,53,28.617671
2.059479,187,29.114383
-0.348759,54,29.285023
-0.253646,140,29.696677
-0.372691,110,29.987332
-0.390623,122,30.317357
-0.340909,59,30.461653
2.056339,182,30.920559
2.059564,188,33.851875
2.072161,187,34.35175
-0.60184,73,34.541814
2.07056,180,34.994571
-0.339143,50,35.117679
-0.443368,124,35.428235
-0.423136,128,35.742594
-0.335186,61,35.891323
-0.493551,116,36.184731
-0.309593,80,36.385329
-0.25064,138,36.740969
-0.343636,103,36.997583
2.04133,201,37.514873
-0.349512,111,37.78958
-0.323501,136,38.131108
-0.313365,56,38.276731
-0.375609,112,39.274736
-0.326827,55,39.423732
-0.371419,114,39.726027
2.079169,175,42.657807
2.063316,197,43.150372
-0.259831,145,43.516705
-0.588674,183,43.964648
-0.325218,58,44.114749
2.051052,179,44.563872
2.042974,182,45.029961
2.049437,223,45.590271
-0.367251,51,45.717958
-0.367644,111,45.991234
2.043369,184,46.48094
-0.252769,126,46.796087
2.081543,229,47.38319
2.043542,218,50.351958
-0.587542,73,50.535153
2.019473,185,50.995821
2.041547,175,51.439929
