#{"t_start": 1769508235.4304972, "env_id": "None"}
r,l,t
-0.623213,73,1.181102
-0.632088,73,1.347786
-0.663001,73,1.52333
-0.631165,73,1.690193
-0.654976,73,1.858648
-0.624729,73,2.040177
-0.648395,73,2.209358
-0.638935,73,2.386067
-0.660532,73,2.562976
-0.621603,73,2.735897
-0.67607,73,2.922224
-0.652394,73,3.090395
-0.645956,73,3.259892
-0.603952,73,3.424584
-0.618771,73,3.587846
-0.61556,73,3.749398
-0.661037,73,3.924881
-0.632667,73,4.098859
-0.651447,73,4.26352
-0.660331,73,4.432235
-0.614634,73,4.596866
-0.61822,73,4.760968
-0.637472,73,4.930773
-0.645868,73,5.09703
-0.660952,73,5.261947
-0.639943,73,5.425538
-0.627132,73,5.609341
-0.627848,73,5.775877
-0.641055,73,8.204586
-0.654495,73,8.392342
-0.641241,73,8.576912
-0.623326,73,8.769069
-0.645538,73,8.962775
-0.636157,73,9.153016
-0.684479,73,9.365638
-0.669435,73,9.552036
-0.664369,73,9.735638
-0.63506,73,9.921465
-0.635638,73,10.106031
-0.638022,73,10.291832
-0.68692,73,10.474598
-0.61885,73,10.664754
-0.644996,73,10.849138
-0.620394,73,11.040201
-0.599305,73,11.230011
-0.627216,73,11.416209
-0.622461,73,11.602446
-0.685167,73,11.789176
-0.596262,73,11.978749
-0.64545,73,12.172303
-0.626876,73,12.363818
-0.663688,73,12.54989
-0.614409,73,12.736931
-0.610209,73,12.925347
-0.658013,73,13.108073
-0.632452,73,13.294484
-0.648495,73,15.668964
-0.609624,73,15.849342
-0.661523,73,16.034285
-0.600551,73,16.218259
-0.637733,73,16.408025
-0.680659,73,16.592708
-0.611688,73,16.776876
-0.674606,73,16.968223
-0.635952,73,17.150222
-0.626164,73,17.342396
-0.66317,73,17.529889
-0.562287,73,17.720948
-0.641419,73,18.615678
-0.658253,73,18.803187
-0.647235,73,18.997858
-0.633639,73,19.183423
-0.670932,73,19.374115
-0.661458,73,19.571084
-0.623461,73,19.77347
-0.639067,73,19.970181
-0.661075,73,20.173846
-0.582557,73,20.381751
-0.671093,73,20.571857
-0.655426,73,20.790642
-0.632258,73,20.987154
-0.630276,73,21.175116
-0.633189,73,21.375928
-0.604405,73,21.569987
-0.675073,73,23.988078
-0.681274,73,24.178855
-0.634203,73,24.383422
-0.642619,73,24.572061
-0.629478,73,24.770108
-0.64171,73,25.01077
-0.641933,73,25.21131
-0.633223,73,25.436992
-0.652073,73,25.667823
-0.598312,73,25.875438
-0.680563,73,26.059629
-0.621343,73,26.265513
-0.606403,73,26.480059
-0.607767,73,26.677278
-0.624058,73,26.877844
-0.636544,73,27.064847
-0.625892,73,27.252204
-0.657508,73,27.441959
-0.619175,73,27.629703
-0.665984,73,27.820719
-0.595544,73,28.009399
-0.629345,73,28.197233
-0.644158,73,28.387287
-0.631157,73,28.577577
-0.619505,73,28.76317
-0.646452,73,28.968801
-0.647571,73,29.179208
-0.63312,73,29.400577
-0.666841,73,31.825797
-0.616022,73,32.010183
-0.615403,73,32.220574
-0.650908,73,32.418809
-0.651035,73,32.608083
-0.660209,73,32.811933
-0.632494,73,33.000905
-0.666613,73,33.190201
-0.664001,73,33.383941
-0.628042,73,33.57316
-0.644558,73,33.767924
-0.646307,73,33.972774
-0.665974,73,34.164718
-0.645043,73,34.360859
-0.654597,73,34.567849
-0.671358,73,34.760642
-0.636599,73,34.954385
-0.667959,73,35.167194
-0.640633,73,35.384873
-0.635396,73,35.63814
-0.641335,73,35.869077
-0.616327,73,36.085512
-0.640339,73,36.288093
-0.641414,73,36.482471
-0.606724,73,37.402961
-0.623484,73,37.603087
-0.678231,73,37.798247
-0.653207,73,37.993068
-0.646455,73,40.688893
-0.652518,73,40.886234
-0.624987,73,41.082696
-0.61632,73,41.275281
-0.637211,73,41.472088
-0.620059,73,41.668879
-0.641711,73,41.855403
-0.625548,73,42.046654
